80	601117	中国化学	5.83	股吧 行情 档案 资讯	建筑	北京市	0.09	0.11	6.61	1.50	49.33	49.33	287.59
81	601111	中国国航	6.96	股吧 行情 档案 资讯	交通运输	北京市	0.13	-0.35	6.14	-5.26	145.25	145.25	693.36
82	601108	财通证券	12.23	股吧 行情 档案 资讯	金融	杭州市	0.19	0.05	5.87	0.90	35.89	24.07	294.34
83	601100	恒立液压	51.03	股吧 行情 档案 资讯	机械设备	常州市	0.13	0.39	6.72	6.03	13.05	13.05	666.13
84	601088	中国神华	15.88	股吧 行情 档案 资讯	能源	北京市	0.32	0.49	18.20	2.75	198.90	198.90	2618.78
85	601077	渝农商行	5.19	股吧 行情 档案 资讯		重庆市	0.04	0.27	8.02	3.44	113.57	38.70	70.43
86	601066	中信建投	47.70	股吧 行情 档案 资讯		北京市	0.14	0.25	6.36	3.39	76.46	21.25	412.31
87	601021	春秋航空	37.36	股吧 行情 档案 资讯	交通运输	上海市	0.09	-0.25	15.97	-1.53	9.16	9.16	342.39
88	601018	宁波港	3.73	股吧 行情 档案 资讯	交通运输	宁波市	0.09	0.04	3.14	1.40	131.73	131.73	491.35
89	601012	隆基股份	41.70	股吧 行情 档案 资讯	电子设备	西安市	0.70	0.49	7.82	6.52	37.72	37.68	1571.07
90	601009	南京银行	7.85	股吧 行情 档案 资讯	金融	南京市	0.30	0.44	10.73	4.22	100.07	84.82	665.85
91	601006	大秦铁路	6.71	股吧 行情 档案 资讯	交通运输	大同市	0.25	0.17	7.82	2.23	148.67	148.67	997.56
92	600999	招商证券	26.57	股吧 行情 档案 资讯	金融	深圳市	0.45	0.24	10.81	2.08	66.99	66.99	1519.54
93	600998	九州通	20.15	股吧 行情 档案 资讯	医药生物	武汉市	0.09	0.32	9.13	3.12	18.78	16.91	340.65
94	600989	宝丰能源	8.88	股吧 行情 档案 资讯	能源	银川市	0.05	0.11	3.29	3.46	73.33	7.33	65.12
95	600977	中国电影	13.73	股吧 行情 档案 资讯	文化传媒	北京市	0.07	-0.12	6.30	-1.91	18.67	18.67	256.34
96	600968	海油发展	2.51	股吧 行情 档案 资讯		北京市	0.03	0.01	1.83	0.68	101.65	18.65	46.81
97	600958	东方证券	11.16	股吧 行情 档案 资讯	金融	上海市	0.24	0.12	7.86	1.49	69.94	67.04	633.59
98	600928	西安银行	5.91	股吧 行情 档案 资讯	金融	西安市	0.05	0.17	5.50	3.20	44.44	11.56	68.30
99	600926	杭州银行	9.60	股吧 行情 档案 资讯	金融	杭州市	0.15	0.42	10.82	3.21	59.30	50.22	482.14
100	600919	江苏银行	6.06	股吧 行情 档案 资讯	金融	南京市	0.36	0.37	9.98	3.14	115.45	114.06	691.19
101	600900	长江电力	19.09	股吧 行情 档案 资讯	公用事业	北京市	1.09	0.10	6.89	1.52	220.00	220.00	4199.80
102	600893	航发动力	24.40	股吧 行情 档案 资讯	交运设备	西安市	0.14	0.04	12.79	0.30	22.50	19.48	475.25
103	600887	伊利股份	31.59	股吧 行情 档案 资讯	食品饮料	呼和浩特市	1.26	0.19	4.43	4.31	60.84	59.00	1863.88
